  MODEL =   modelo2.osc                                                                                         

  Mass =    1.000
  Log Teff =    3.7611
  Log g =    4.4442

  L   MODE    Omega2   FREC(muHz)   PER(d)    Q(d)     NP    NG
  3.  14   517.74887  2297.87957      0.0050    0.0051    14     0
  3.  15   580.87495  2433.93518      0.0048    0.0048    15     0
  3.  16   647.60350  2569.93580      0.0045    0.0046    16     0
  3.  17   718.22267  2706.43273      0.0043    0.0043    17     0
  3.  18   793.11485  2844.04016      0.0041    0.0041    18     0
  3.  19   871.84888  2981.86715      0.0039    0.0039    19     0
  3.  20   954.26100  3119.61694      0.0037    0.0038    20     0
  3.  21  1040.61130  3257.70647      0.0036    0.0036    21     0
  3.  22  1130.81806  3395.97161      0.0034    0.0034    22     0
  3.  23  1225.20206  3534.85449      0.0033    0.0033    23     0
