  MODEL =   modelo2.osc                                                                                         

  Mass =    1.000
  Log Teff =    3.7611
  Log g =    4.4442

  L   MODE    Omega2   FREC(muHz)   PER(d)    Q(d)     NP    NG
  0.   1     6.67535   260.91847      0.0444    0.0449     1     0
  0.   2    16.27462   407.40199      0.0284    0.0287     2     0
  0.   3    28.70755   541.08534      0.0214    0.0216     3     0
  0.   4    46.32678   687.35922      0.0168    0.0170     4     0
  0.   5    68.17708   833.84800      0.0139    0.0140     5     0
  0.   6    94.70885   982.79508      0.0118    0.0119     6     0
  0.   7   125.11546  1129.59606      0.0102    0.0104     7     0
  0.   8   159.78719  1276.55245      0.0091    0.0092     8     0
  0.   9   198.22827  1421.83917      0.0081    0.0082     9     0
  0.  10   239.87523  1564.08513      0.0074    0.0075    10     0
  0.  11   284.59089  1703.64138      0.0068    0.0069    11     0
  0.  12   332.14461  1840.48079      0.0063    0.0064    12     0
  0.  13   383.53670  1977.74887      0.0059    0.0059    13     0
  0.  14   438.88736  2115.65193      0.0055    0.0055    14     0
  0.  15   497.53585  2252.57818      0.0051    0.0052    15     0
  0.  16   559.40694  2388.53499      0.0048    0.0049    16     0
  0.  17   624.45468  2523.58621      0.0046    0.0046    17     0
  0.  18   693.37465  2659.20404      0.0044    0.0044    18     0
  0.  19   766.52379  2795.95709      0.0041    0.0042    19     0
  0.  20   843.47263  2932.94001      0.0039    0.0040    20     0
  0.  21   924.28796  3070.23296      0.0038    0.0038    21     0
  0.  22  1008.80191  3207.52929      0.0036    0.0036    22     0
  0.  23  1097.15864  3345.04832      0.0035    0.0035    23     0
  0.  24  1189.70905  3483.27742      0.0033    0.0034    24     0
  0.  25  1286.18881  3621.76315      0.0032    0.0032    25     0
  1.  -1     6.66301   260.67707      0.0444    0.0449     0     1
  1.   0     8.09822   287.38390      0.0403    0.0407     0     0
  1.   1    20.12809   453.07380      0.0255    0.0258     2     1
  1.   4    55.85150   754.71866      0.0153    0.0155     4     0
  1.   5    79.96079   903.03841      0.0128    0.0130     5     0
  1.   6   108.19958  1050.46228      0.0110    0.0111     6     0
  1.   7   140.67220  1197.76558      0.0097    0.0098     7     0
  1.   8   176.92386  1343.26250      0.0086    0.0087     8     0
  1.   9   217.09158  1487.95285      0.0078    0.0079     9     0
  1.  10   260.14670  1628.83407      0.0071    0.0072    10     0
  1.  11   306.13733  1766.95638      0.0066    0.0066    11     0
  1.  12   355.58736  1904.32399      0.0061    0.0061    12     0
  1.  13   408.79458  2041.83313      0.0057    0.0057    13     0
  1.  14   465.95292  2179.91068      0.0053    0.0054    14     0
  1.  15   526.23300  2316.63024      0.0050    0.0051    15     0
  1.  16   589.54098  2452.02379      0.0047    0.0048    16     0
  1.  17   656.57518  2587.67610      0.0045    0.0045    17     0
  1.  18   727.50764  2723.87052      0.0042    0.0043    18     0
  1.  19   802.60057  2860.99707      0.0040    0.0041    19     0
  1.  20   881.56201  2998.43139      0.0039    0.0039    20     0
  1.  21   964.11397  3135.68096      0.0037    0.0037    21     0
  1.  22  1050.61714  3273.33100      0.0035    0.0036    22     0
  1.  23  1141.00927  3411.23994      0.0034    0.0034    23     0
  1.  24  1235.49641  3549.67364      0.0033    0.0033    24     0
  2. -10     0.99830   100.90140      0.1147    0.1160     0    10
  2.  -9     1.18679   110.01553      0.1052    0.1064     0     9
  2.  -8     1.43064   120.79062      0.0958    0.0969     0     8
  2.  -7     1.75240   133.68537      0.0866    0.0876     0     7
  2.  -6     2.18716   149.35083      0.0775    0.0784     0     6
  2.  -5     2.78412   168.50466      0.0687    0.0695     0     5
  2.  -4     3.62259   192.21060      0.0602    0.0609     0     4
  2.  -3     4.76484   220.44071      0.0525    0.0531     0     3
  2.  -2     6.35409   254.56246      0.0455    0.0460     0     2
  2.  -1     8.53161   294.97361      0.0392    0.0397     0     1
  2.   0    12.28259   353.92622      0.0327    0.0331     1     1
  2.   1    14.52986   384.94477      0.0301    0.0304     1     0
  2.   2    26.51506   520.01279      0.0223    0.0225     2     0
  2.   3    44.18176   671.25757      0.0172    0.0174     3     0
  2.   4    65.98550   820.33634      0.0141    0.0143     4     0
  2.   5    92.23609   969.88024      0.0119    0.0121     5     0
  2.   6   122.25145  1116.59247      0.0104    0.0105     6     0
  2.   7   156.57475  1263.65507      0.0092    0.0093     7     0
  2.   8   194.60530  1408.78597      0.0082    0.0083     8     0
  2.   9   236.01974  1551.46450      0.0075    0.0075     9     0
  2.  10   280.50121  1691.35608      0.0068    0.0069    10     0
  2.  11   327.80340  1828.41347      0.0063    0.0064    11     0
  2.  12   378.97727  1965.95812      0.0059    0.0060    12     0
  2.  13   434.08464  2104.04436      0.0055    0.0056    13     0
  2.  14   492.62122  2241.42515      0.0052    0.0052    14     0
  2.  15   554.40554  2377.83361      0.0049    0.0049    15     0
  2.  16   619.30840  2513.16596      0.0046    0.0047    16     0
  2.  17   688.11892  2649.10659      0.0044    0.0044    17     0
  2.  18   761.13388  2786.10967      0.0042    0.0042    18     0
  2.  19   837.99289  2923.39734      0.0040    0.0040    19     0
  2.  20   918.76069  3061.03916      0.0038    0.0038    20     0
  2.  21  1003.19039  3198.59581      0.0036    0.0037    21     0
  2.  22  1091.49587  3336.40475      0.0035    0.0035    22     0
  2.  23  1183.97816  3474.87773      0.0033    0.0034    23     0
  2.  24  1280.39265  3613.59327      0.0032    0.0032    24     0
  3. -14     1.02795   102.38885      0.1130    0.1143     0    14
  3. -13     1.16539   109.01915      0.1062    0.1074     0    13
  3. -12     1.33125   116.51924      0.0993    0.1005     0    12
  3. -11     1.53340   125.05336      0.0926    0.0936     0    11
  3. -10     1.78292   134.84477      0.0858    0.0868     0    10
  3.  -9     2.09614   146.21015      0.0792    0.0801     0     9
  3.  -8     2.49440   159.49626      0.0726    0.0734     0     8
  3.  -7     3.00736   175.12997      0.0661    0.0668     0     7
  3.  -6     3.67747   193.66108      0.0598    0.0604     0     6
  3.  -5     4.53734   215.11384      0.0538    0.0544     0     5
  3.  -4     5.53069   237.49648      0.0487    0.0493     0     4
  3.  -3     6.62047   259.84373      0.0445    0.0450     0     3
  3.  -2     8.46866   293.88336      0.0394    0.0398     0     2
  3.  -1    11.15917   337.35234      0.0343    0.0347     0     1
  3.   0    15.20347   393.76680      0.0294    0.0297     1     1
  3.   1    17.25047   419.43837      0.0276    0.0279     1     0
  3.   2    31.95082   570.83254      0.0203    0.0205     2     0
  3.   3    51.71684   726.24585      0.0159    0.0161     3     0
  3.   4    75.24610   876.01123      0.0132    0.0134     4     0
  3.   5   103.14566  1025.63576      0.0113    0.0114     5     0
  3.   6   135.04623  1173.56978      0.0099    0.0100     6     0
  3.   7   170.90687  1320.22343      0.0088    0.0089     7     0
  3.   8   210.67516  1465.79877      0.0079    0.0080     8     0
  3.   9   253.36797  1607.47245      0.0072    0.0073     9     0
  3.  10   299.10954  1746.55720      0.0066    0.0067    10     0
  3.  11   348.08987  1884.14089      0.0061    0.0062    11     0
  3.  12   400.89373  2022.00541      0.0057    0.0058    12     0
  3.  13   457.75511  2160.64931      0.0054    0.0054    13     0
  3.  14   517.75158  2297.88558      0.0050    0.0051    14     0
  3.  15   580.87672  2433.93887      0.0048    0.0048    15     0
  3.  16   647.60500  2569.93878      0.0045    0.0046    16     0
  3.  17   718.22630  2706.43958      0.0043    0.0043    17     0
  3.  18   793.11704  2844.04407      0.0041    0.0041    18     0
  3.  19   871.85202  2981.87251      0.0039    0.0039    19     0
  3.  20   954.26532  3119.62399      0.0037    0.0038    20     0
  3.  21  1040.61458  3257.71160      0.0036    0.0036    21     0
  3.  22  1130.82287  3395.97882      0.0034    0.0034    22     0
  3.  23  1225.20696  3534.86156      0.0033    0.0033    23     0
