  MODEL =   modelo1.osc                                                                                         

  Mass =    1.000
  Log Teff =    3.7626
  Log g =    4.4377

  L   MODE    Omega2   FREC(muHz)   PER(d)    Q(d)     NP    NG
  0.   1     6.69451   258.36327      0.0448    0.0448     1     0
  0.   2    16.36369   403.93538      0.0287    0.0287     2     0
  0.   3    28.76646   535.56790      0.0216    0.0216     3     0
  0.   4    46.36430   679.92836      0.0170    0.0170     4     0
  0.   5    68.20593   824.67414      0.0140    0.0140     5     0
  0.   6    94.72563   971.86306      0.0119    0.0119     6     0
  0.   7   125.12613  1116.97983      0.0104    0.0104     7     0
  0.   8   159.82333  1262.38379      0.0092    0.0092     8     0
  0.   9   198.35030  1406.33163      0.0082    0.0082     9     0
  0.  10   240.11918  1547.33640      0.0075    0.0075    10     0
  0.  11   284.95552  1685.62069      0.0069    0.0069    11     0
  0.  12   332.53865  1820.92635      0.0064    0.0064    12     0
  0.  13   383.80860  1956.26941      0.0059    0.0059    13     0
  0.  14   439.01139  2092.22896      0.0055    0.0055    14     0
  0.  15   497.63645  2227.54972      0.0052    0.0052    15     0
  0.  16   559.58995  2362.14345      0.0049    0.0049    16     0
  0.  17   624.67750  2495.73946      0.0046    0.0046    17     0
  0.  18   693.55656  2629.73664      0.0044    0.0044    18     0
  0.  19   766.69260  2764.91606      0.0042    0.0042    19     0
  0.  20   843.69135  2900.43484      0.0040    0.0040    20     0
  0.  21   924.60651  3036.33572      0.0038    0.0038    21     0
  0.  22  1009.24148  3172.26062      0.0036    0.0036    22     0
  0.  23  1097.66698  3308.31318      0.0035    0.0035    23     0
  0.  24  1190.25195  3445.01220      0.0034    0.0034    24     0
  0.  25  1286.76913  3581.96742      0.0032    0.0032    25     0
  1.   1    20.14807   448.21669      0.0258    0.0258     2     1
  1.   3    35.67614   596.43107      0.0194    0.0194     3     0
  1.   6   108.19969  1038.68612      0.0111    0.0111     6     0
  1.  13   408.97757  2019.39398      0.0057    0.0057    13     0
  1.  14   466.03142  2155.65329      0.0054    0.0054    14     0
  1.  16   589.74020  2424.94381      0.0048    0.0048    16     0
  1.  17   656.76889  2559.04310      0.0045    0.0045    17     0
  1.  18   727.66837  2693.63076      0.0043    0.0043    18     0
  1.  19   802.77102  2829.22285      0.0041    0.0041    19     0
  1.  20   881.82161  2965.25252      0.0039    0.0039    20     0
  1.  21   964.48935  3101.13044      0.0037    0.0037    21     0
  1.  22  1051.09416  3237.36842      0.0036    0.0036    22     0
  1.  23  1141.54692  3373.79118      0.0034    0.0034    23     0
  1.  24  1236.05629  3510.67349      0.0033    0.0033    24     0
  2. -10     1.04496   102.07523      0.1134    0.1134     0    10
  2.  -9     1.24243   111.30291      0.1040    0.1040     0     9
  2.  -8     1.49711   122.17963      0.0947    0.0947     0     8
  2.  -7     1.83229   135.16619      0.0856    0.0856     0     7
  2.  -6     2.28380   150.90389      0.0767    0.0767     0     6
  2.  -5     2.90305   170.13685      0.0680    0.0680     0     5
  2.  -4     3.77212   193.93857      0.0597    0.0597     0     4
  2.  -3     4.94348   222.01769      0.0521    0.0521     0     3
