  MODEL =   modelo1.osc                                                                                         

  Mass =    1.000
  Log Teff =    3.7626
  Log g =    4.4377

  L   MODE    Omega2   FREC(muHz)   PER(d)    Q(d)     NP    NG
  2.  -2     6.58075   256.15857      0.0452    0.0452     0     2
  2.  -1     8.79835   296.19113      0.0391    0.0391     0     1
  2.   0    12.70661   355.94770      0.0325    0.0325     1     1
  2.   1    14.80787   384.25328      0.0301    0.0301     1     0
  2.   2    26.54062   514.43065      0.0225    0.0225     2     0
  2.   3    44.20621   663.91575      0.0174    0.0174     3     0
  2.   4    66.00449   811.25623      0.0143    0.0143     4     0
  2.   5    92.25000   959.07926      0.0121    0.0121     5     0
  2.   6   122.26824  1104.15018      0.0105    0.0105     6     0
  2.   7   156.62739  1249.69828      0.0093    0.0093     7     0
  2.   8   194.74767  1393.50154      0.0083    0.0083     8     0
  2.   9   236.27918  1534.91398      0.0075    0.0075     9     0
  2.  10   280.88049  1673.52462      0.0069    0.0069    10     0
  2.  11   328.21882  1809.06036      0.0064    0.0064    11     0
  2.  12   379.27967  1944.69320      0.0060    0.0060    12     0
  2.  13   434.23409  2080.81405      0.0056    0.0056    13     0
  2.  14   492.73264  2216.54718      0.0052    0.0052    14     0
  2.  15   554.59893  2351.58579      0.0049    0.0049    15     0
  2.  16   619.54751  2485.47056      0.0047    0.0047    16     0
  2.  17   688.31905  2619.78836      0.0044    0.0044    17     0
  2.  18   761.31865  2755.20900      0.0042    0.0042    18     0
  2.  19   838.22191  2891.01815      0.0040    0.0040    19     0
  2.  20   919.09042  3027.26496      0.0038    0.0038    20     0
  2.  21  1003.64421  3163.45169      0.0037    0.0037    21     0
  2.  22  1092.02343  3299.79753      0.0035    0.0035    22     0
  2.  23  1184.54668  3436.74575      0.0034    0.0034    23     0
  2.  24  1280.99854  3573.92663      0.0032    0.0032    24     0
  3. -14     1.07440   103.50332      0.1118    0.1118     0    14
  3. -13     1.21849   110.22570      0.1050    0.1050     0    13
  3. -12     1.39230   117.82506      0.0982    0.0982     0    12
  3. -11     1.60415   126.47177      0.0915    0.0915     0    11
  3. -10     1.86569   136.39273      0.0849    0.0849     0    10
  3.  -9     2.19386   147.90249      0.0783    0.0783     0     9
  3.  -8     2.60978   161.31436      0.0717    0.0717     0     8
  3.  -7     3.14364   177.04656      0.0654    0.0654     0     7
  3.  -6     3.83658   195.58854      0.0592    0.0592     0     6
  3.  -5     4.71415   216.80697      0.0534    0.0534     0     5
  3.  -4     5.70449   238.49521      0.0485    0.0485     0     4
  3.  -3     6.84370   261.22616      0.0443    0.0443     0     3
  3.  -2     8.80713   296.33887      0.0391    0.0391     0     2
  3.  -1    11.57939   339.79285      0.0341    0.0341     0     1
  3.   0    15.84672   397.50349      0.0291    0.0291     1     1
  3.   1    17.37798   416.26602      0.0278    0.0278     1     0
  3.   2    31.95689   564.48648      0.0205    0.0205     2     0
  3.   3    51.70886   718.04852      0.0161    0.0161     3     0
  3.   4    75.25732   866.25486      0.0134    0.0134     4     0
  3.   5   103.17067  1014.26033      0.0114    0.0114     5     0
  3.   6   135.08806  1160.59261      0.0100    0.0100     6     0
  3.   7   170.98837  1305.73365      0.0089    0.0089     7     0
  3.   8   210.84709  1449.95700      0.0080    0.0080     8     0
  3.   9   253.66925  1590.39584      0.0073    0.0073     9     0
  3.  10   299.51528  1728.14749      0.0067    0.0067    10     0
  3.  11   348.48388  1864.07192      0.0062    0.0062    11     0
  3.  12   401.13635  1999.94164      0.0058    0.0058    12     0
  3.  13   457.87277  2136.70086      0.0054    0.0054    13     0
  3.  14   517.89703  2272.44315      0.0051    0.0051    14     0
  3.  15   581.09646  2407.10719      0.0048    0.0048    15     0
  3.  16   647.83155  2541.57168      0.0046    0.0046    16     0
  3.  17   718.41353  2676.44649      0.0043    0.0043    17     0
  3.  18   793.30585  2812.49425      0.0041    0.0041    18     0
  3.  19   872.12153  2948.89847      0.0039    0.0039    19     0
  3.  20   954.64540  3085.26418      0.0038    0.0038    20     0
  3.  21  1041.10321  3221.94563      0.0036    0.0036    21     0
  3.  22  1131.37348  3358.72396      0.0034    0.0034    22     0
  3.  23  1225.77986  3496.04936      0.0033    0.0033    23     0
  3.  24  1324.28579  3633.80965      0.0032    0.0032    24     0
