                                                                                                                                                                                                                                                                



                        1                         2                         3                         4                         5                         6
                        l                      n_pg                       n_p                       n_g                  Re(freq)                  Im(freq)
                        2                        21                        21                         0   0.3163362703147227E+004   0.0000000000000000E+000
                        2                        22                        22                         0   0.3299694301456826E+004   0.0000000000000000E+000
                        2                        23                        23                         0   0.3436626364447322E+004   0.0000000000000000E+000
                        2                        24                        24                         0   0.3573795718967536E+004   0.0000000000000000E+000
                        2                        25                        25                         0   0.3711433891354661E+004   0.0000000000000000E+000
                        2                        26                        26                         0   0.3849297451543935E+004   0.0000000000000000E+000
                        2                        27                        27                         0   0.3987250928592552E+004   0.0000000000000000E+000
                        2                        28                        28                         0   0.4125543193464958E+004   0.0000000000000000E+000
                        2                        29                        29                         0   0.4263855390523878E+004   0.0000000000000000E+000
                        2                        30                        30                         0   0.4402363605946804E+004   0.0000000000000000E+000
                        2                        31                        31                         0   0.4541005815734345E+004   0.0000000000000000E+000
                        2                        32                        32                         0   0.4679650760797038E+004   0.0000000000000000E+000
                        2                        33                        33                         0   0.4818511548510526E+004   0.0000000000000000E+000
                        2                        34                        34                         0   0.4957349740870570E+004   0.0000000000000000E+000
                        3                         5                         5                         0   0.1014322274892070E+004   0.0000000000000000E+000
                        3                         6                         6                         0   0.1160663798711453E+004   0.0000000000000000E+000
                        3                         7                         7                         0   0.1305791750708926E+004   0.0000000000000000E+000
                        3                         8                         8                         0   0.1450010582926959E+004   0.0000000000000000E+000
                        3                         9                         9                         0   0.1590455092232023E+004   0.0000000000000000E+000
                        3                        10                        10                         0   0.1728202872469026E+004   0.0000000000000000E+000
                        3                        11                        11                         0   0.1864114173611207E+004   0.0000000000000000E+000
                        3                        12                        12                         0   0.1999944326267526E+004   0.0000000000000000E+000
                        3                        13                        13                         0   0.2136659686967236E+004   0.0000000000000000E+000
                        3                        14                        14                         0   0.2272391499441114E+004   0.0000000000000000E+000
                        3                        15                        15                         0   0.2407067623948918E+004   0.0000000000000000E+000
                        3                        16                        16                         0   0.2541551179720235E+004   0.0000000000000000E+000
                        3                        17                        17                         0   0.2676429845398786E+004   0.0000000000000000E+000
                        3                        18                        18                         0   0.2812457148175441E+004   0.0000000000000000E+000
                        3                        19                        19                         0   0.2948839521582935E+004   0.0000000000000000E+000
                        3                        20                        20                         0   0.3085187441484855E+004   0.0000000000000000E+000
                        3                        21                        21                         0   0.3221850186804300E+004   0.0000000000000000E+000
                        3                        22                        22                         0   0.3358615107926305E+004   0.0000000000000000E+000
                        3                        23                        23                         0   0.3495927844632915E+004   0.0000000000000000E+000
                        3                        24                        24                         0   0.3633676254361817E+004   0.0000000000000000E+000
                        3                        25                        25                         0   0.3771558558473456E+004   0.0000000000000000E+000
                        3                        26                        26                         0   0.3909824490566757E+004   0.0000000000000000E+000
                        3                        27                        27                         0   0.4048144325561216E+004   0.0000000000000000E+000
                        3                        28                        28                         0   0.4186656326883551E+004   0.0000000000000000E+000
                        3                        29                        29                         0   0.4325381432432980E+004   0.0000000000000000E+000
                        3                        30                        30                         0   0.4464080841178577E+004   0.0000000000000000E+000
                        3                        31                        31                         0   0.4603006295672672E+004   0.0000000000000000E+000
                        3                        32                        32                         0   0.4741943341788654E+004   0.0000000000000000E+000
                        3                        33                        33                         0   0.4880950542326180E+004   0.0000000000000000E+000
